classi,doc_id,cohesionSyn_m,hauteurPh_m,longPh_m,ageManulex_m,longMotOrtho_m,maas_lemma_i,cycle
X,se1vp26,0.427923973803981,5.21994134897361,18.0322580645161,6.44055944055944,6.33774834437086,5.52096566644409,premier
X,se1vp27,0.386902415842494,6.17082294264339,22.5660847880299,6.63063063063063,6.46288209606987,5.28678697598879,premier
X,se1vp30,0.35142242240809,6.42367066895369,24.1123499142367,6.71134020618557,6.92452830188679,5.59483688403756,premier
N,se1xx02,0.354445109484308,5.85429553264605,23.5127147766323,6.48618784530387,6.51554404145078,5.77807686189045,premier
X,se2fs01a,0.350732018957785,6.26298701298701,20.8701298701299,6.51546391752577,6.08,4.50871332186794,premier
X,se2fs01b,0.298718319208577,6.3025641025641,23.2769230769231,6.390625,6.25352112676056,4.07450128163734,premier
X,se2fs01c,0.315777845546501,7.32291666666667,27.375,6.44285714285714,5.90277777777778,4.10494773238428,premier
X,se2fs01d,0.268303249004003,7.14410480349345,43.8951965065502,6.46913580246914,5.97619047619048,4.26217206460195,premier
X,se2fs01f,0.170707737777163,7.58241758241758,51.010989010989,6.54716981132075,5.78947368421053,3.90936516498208,premier
N,se2fs02a,0.387363260896457,6.18473895582329,21.3172690763052,6.38461538461539,6.03614457831325,4.19950636133066,premier
X,se2fs02b,0.364118977439186,7.48290598290598,26.3675213675214,6.45569620253165,5.88235294117647,4.28935296422899,premier
X,se2fs03,0.388659981668594,6.03741007194245,20.5237410071942,6.63098591549296,6.7265625,5.77300545155723,premier
X,se2fs04a,0.305045190460854,7.65798045602606,33.4104234527687,6.44144144144144,6,4.66800667909532,premier
N,se2fs04b,0.298967786345569,5.6078431372549,26.6699346405229,6.28089887640449,5.21428571428571,4.40708736985378,premier
N,se2fs04c,0.43385685044734,5.75462962962963,25.412037037037,6.46153846153846,5.1375,4.24559090806054,premier
N,se2fs04d,0.360422020491267,5.68452380952381,16.452380952381,6.51260504201681,6.25,4.65488642223478,premier
X,se2fs05,0.372120373002431,5.89586305278174,21.6105563480742,6.44554455445545,6.03271028037383,5.19037510092741,premier
N,se2fs06,0.466756878605126,4.76611570247934,14.2619834710744,6.31095406360424,5.69899665551839,5.495367562541,premier
N,se2fs07,0.324873012953116,5.87231920199501,23.5092269326683,6.36992840095465,6.02217294900222,5.9743779186244,premier
N,se2gp-3,0.422604828204577,5.08769633507853,15.5602094240838,6.29857819905213,5.63761467889908,5.20620269974285,premier
N,se2gp-4,0.317095343055405,6.52833243389099,27.2428494333513,6.40493827160494,5.81947743467934,5.85694392245897,premier
