doc_id,ageManulex_m,freqManulexSfi_m,longMotOrtho_m,freqEqolSfi_m,longPh_m,cohesionSyn_m,hauteurPh_m,ageEqol_m,motSeuilOrtho_p,ageMels_m,maas_lemma_i,verbesConju_m,GNC_m,virgule_m,partPass_m,partPres_m,GV_m,phMarqueur_m,adp_p,simCosinNom_m,classi,cycle
se3mj-2,6.45232815964523,54.826284797487,6.36458333333333,53.1781602665715,20.9017432646593,0.360951177000902,5.92181722134179,7.21900826446281,0.1875,7.93090909090909,5.97362602789425,2.88325409403064,2.5979381443299,1.59535129424194,0.582144743792921,0.24986793449551,2.96907216494845,0.28473322768093,0.111991547807713,0.0954997136306183,N,deuxieme
se3mj-3,6.66556291390728,52.871852687035,6.63914373088685,55.7113497747654,26.2027318475917,0.318067368186805,7.17900790797987,7.30185185185185,0.223241590214067,8.12886597938144,5.62610964367772,2.89647735442128,3.33333333333333,2.04888569374551,0.886412652767793,0.0690150970524802,2.98333333333333,0.319194823867721,0.12508986340762,0.12145836105551,X,deuxieme
se3mj-5,6.63725490196078,50.9614983822677,6.63595839524517,51.4615148442982,25.9943630214205,0.334216412159211,6.44757609921082,7.32865731462926,0.210995542347697,8.25290697674419,6.34511345731382,2.84254039834649,3.36065573770492,2.58399098083427,0.933107854190154,0.241262683201804,2.40163934426229,0.23825629462608,0.140924464487035,0.0384219676790623,X,deuxieme
se3mj57,6.46525679758308,55.1662432816864,6.35057471264368,55.5797888098022,29.1092318534179,0.303945301670584,6.74136715997181,7.19377162629758,0.195402298850575,7.90497737556561,5.76490770892782,2.87526427061311,2.88524590163934,2.89570119802678,0.918957011980268,0.193093727977449,3.37704918032787,0.362931642001409,0.124735729386892,0.0558953950522047,X,deuxieme
se3mj58,6.75872093023256,50.910746673931,7,52.9724064498281,32.6401944894652,0.264247656813199,7.41896272285251,7.45286195286195,0.297927461139896,8.395,5.77645534907843,3.24878444084279,4.775,2.62317666126418,0.978119935170178,0.378444084278768,3.525,0.46515397082658,0.152350081037277,0.071143548190476,X,deuxieme
se3mj59,6.56214689265537,53.8522726515048,6.6968085106383,54.8220346964125,23.2701702442635,0.400007266785465,6.01702442635085,7.23139158576052,0.257978723404255,8.28240740740741,5.69609534362128,2.60029607698001,2.62068965517241,2.10584752035529,0.62620281273131,0.134715025906736,3.39655172413793,0.368615840118431,0.116950407105848,0.0334078288973695,X,deuxieme
se3xx01,6.40443213296399,56.4094532593349,5.86737400530504,54.4036725025527,24.65801139962,0.339663622358385,6.19759341355288,7.09152542372881,0.127320954907162,7.82242990654206,5.73450485465929,3.26535782140595,2.49295774647887,2.27675744141862,0.561747941735276,0.106396453451552,3.46478873239437,0.395820139328689,0.0918302723242559,0.0739960484759916,N,deuxieme
se3xx05,6.67578947368421,51.2013951828289,7.03646833013436,52.3009508222765,33.9736703528173,0.27384379140431,8.1332280147446,7.50618811881188,0.289827255278311,8.35606060606061,6.0832215177985,3.42496050552923,4.83870967741935,1.88204318062138,1.2201158504476,0.24275934702475,3.2258064516129,0.363875724065298,0.161137440758294,0.0523856885823472,X,deuxieme
se4fs02,6.74691358024691,50.7616381003024,6.69874879692012,49.2239639252267,24.5638914873714,0.352406928145837,5.94929840972872,7.42735042735043,0.214629451395573,8.25559701492537,6.77033502097302,2.80374181478017,2.28618421052632,3.53264733395697,0.869597754911132,0.203180542563143,2.50657894736842,0.495042095416277,0.105144995322732,0.0303178780741241,N,deuxieme
se4fs03,6.43251088534107,54.0377178562285,6.30081300813008,53.5108494771328,18.1516034985423,0.410650622924674,5.25614327363598,7.22680412371134,0.169376693766938,7.98842592592593,6.41186258981998,2.33798417326114,1.86006825938567,1.42732194918784,0.419408579758434,0.0312369845897543,2.79180887372014,0.223865056226572,0.0911740216486261,0.0657432292167924,N,deuxieme
se4fs04,6.2993762993763,55.775843928737,6.04873294346979,55.0295982178068,17.1068318821165,0.437190525572815,5.03583389149364,7.24480369515012,0.157894736842105,7.85148514851485,6.04563548779887,2.62558606831882,1.61643835616438,1.65103817816477,0.510046885465506,0.0555927662424648,2.51598173515982,0.244809109176155,0.0793438232340141,0.0543130916280222,N,deuxieme
se4fs05,6.37414965986395,58.7444036641296,5.67307692307692,58.7715260435069,25.2701342281879,0.331598316930954,6.46979865771812,7.03007518796993,0.153846153846154,7.88349514563107,4.84673331998801,2.93288590604027,2.31034482758621,1.4496644295302,0.364093959731544,0.0721476510067114,3.06896551724138,0.375838926174497,0.0855704697986577,0.139962706384419,X,deuxieme
se4fs08,6.76969696969697,52.8951023580341,6.41847826086957,53.7398890424248,36.2578125,0.297038528074155,8.5,7.33088235294118,0.239130434782609,7.83168316831683,5.03688043571397,3.876953125,3.88235294117647,2.150390625,0.60546875,0.17578125,3.94117647058824,0.2109375,0.119140625,0.0790101373223427,X,deuxieme
se4fs10,6.65566037735849,54.9838888867951,6.61085972850679,55.4332045139621,22.9048207663782,0.362594336980047,5.92459826946848,7.23314606741573,0.266968325791855,8.1726618705036,5.27111791783723,2.57972805933251,3.05555555555556,1.64524103831891,1.27688504326329,0.0754017305315204,3.16666666666667,0.364647713226205,0.114814814814815,0.0686231346165034,X,deuxieme
se4mg03,6.57746478873239,54.2347381753509,6.46540880503145,54.9928168815924,23.0427184466019,0.409486475999475,6.08349514563107,7.1219512195122,0.232704402515723,8.31914893617021,4.95961603729458,2.10291262135922,3.71428571428571,1.29320388349515,0.829126213592233,0.215533980582524,2.42857142857143,0.163106796116505,0.124271844660194,0.146036348588968,X,deuxieme
se4mg04,6.50180505415162,55.2233648095246,6.24652777777778,55.8986802671526,19.4925788497217,0.390730479173229,5.54823747680891,7.17088607594937,0.197916666666667,8.03208556149733,5.48122123106526,2.00556586270872,2.64912280701754,1.09461966604824,0.76530612244898,0,2.75438596491228,0.185528756957328,0.120593692022263,0.0928774612893336,X,deuxieme
se4mg05,6.6431654676259,51.5709112390311,6.49006622516556,50.4558079996687,24.5652576365319,0.375591772970335,5.92132058006788,7.44814814814815,0.182781456953642,8.17369727047146,6.45068307799661,2.92656587473002,2.54054054054054,2.31132366553533,1.00123418697933,0.0842332613390929,3.07432432432432,0.292502314100586,0.110151187904968,0.050817092483792,N,deuxieme
